Date,Close
02/01/2018 16:00:00,43.07
03/01/2018 16:00:00,43.06
04/01/2018 16:00:00,43.26
05/01/2018 16:00:00,43.75
08/01/2018 16:00:00,43.59
09/01/2018 16:00:00,43.58
10/01/2018 16:00:00,43.57
11/01/2018 16:00:00,43.82
12/01/2018 16:00:00,44.27
16/01/2018 16:00:00,44.05
17/01/2018 16:00:00,44.78
18/01/2018 16:00:00,44.82
19/01/2018 16:00:00,44.62
22/01/2018 16:00:00,44.25
23/01/2018 16:00:00,44.26
24/01/2018 16:00:00,43.56
25/01/2018 16:00:00,42.78
26/01/2018 16:00:00,42.88
29/01/2018 16:00:00,41.99
30/01/2018 16:00:00,41.74
31/01/2018 16:00:00,41.86
01/02/2018 16:00:00,41.95
02/02/2018 16:00:00,40.13
05/02/2018 16:00:00,39.12
06/02/2018 16:00:00,40.76
07/02/2018 16:00:00,39.89
08/02/2018 16:00:00,38.79
09/02/2018 16:00:00,39.1
12/02/2018 16:00:00,40.68
13/02/2018 16:00:00,41.09
14/02/2018 16:00:00,41.84
15/02/2018 16:00:00,43.25
16/02/2018 16:00:00,43.11
20/02/2018 16:00:00,42.96
21/02/2018 16:00:00,42.77
22/02/2018 16:00:00,43.13
23/02/2018 16:00:00,43.88
26/02/2018 16:00:00,44.74
27/02/2018 16:00:00,44.6
28/02/2018 16:00:00,44.53
01/03/2018 16:00:00,43.75
02/03/2018 16:00:00,44.05
05/03/2018 16:00:00,44.21
06/03/2018 16:00:00,44.17
07/03/2018 16:00:00,43.76
08/03/2018 16:00:00,44.24
09/03/2018 16:00:00,45
12/03/2018 16:00:00,45.43
13/03/2018 16:00:00,44.99
14/03/2018 16:00:00,44.61
15/03/2018 16:00:00,44.66
16/03/2018 16:00:00,44.51
19/03/2018 16:00:00,43.83
20/03/2018 16:00:00,43.81
21/03/2018 16:00:00,42.82
22/03/2018 16:00:00,42.21
23/03/2018 16:00:00,41.24
26/03/2018 16:00:00,43.19
27/03/2018 16:00:00,42.09
28/03/2018 16:00:00,41.62
29/03/2018 16:00:00,41.95
02/04/2018 16:00:00,41.67
03/04/2018 16:00:00,42.1
04/04/2018 16:00:00,42.9
05/04/2018 16:00:00,43.2
06/04/2018 16:00:00,42.1
09/04/2018 16:00:00,42.51
10/04/2018 16:00:00,43.31
11/04/2018 16:00:00,43.11
12/04/2018 16:00:00,43.54
13/04/2018 16:00:00,43.68
16/04/2018 16:00:00,43.96
17/04/2018 16:00:00,44.56
18/04/2018 16:00:00,44.46
19/04/2018 16:00:00,43.2
20/04/2018 16:00:00,41.43
23/04/2018 16:00:00,41.31
24/04/2018 16:00:00,40.74
25/04/2018 16:00:00,40.91
26/04/2018 16:00:00,41.06
27/04/2018 16:00:00,40.58
30/04/2018 16:00:00,41.32
01/05/2018 16:00:00,42.28
02/05/2018 16:00:00,44.14
03/05/2018 16:00:00,44.22
04/05/2018 16:00:00,45.96
07/05/2018 16:00:00,46.29
08/05/2018 16:00:00,46.51
09/05/2018 16:00:00,46.84
10/05/2018 16:00:00,47.51
11/05/2018 16:00:00,47.15
14/05/2018 16:00:00,47.04
15/05/2018 16:00:00,46.61
16/05/2018 16:00:00,47.05
17/05/2018 16:00:00,46.75
18/05/2018 16:00:00,46.58
21/05/2018 16:00:00,46.91
22/05/2018 16:00:00,46.79
23/05/2018 16:00:00,47.09
24/05/2018 16:00:00,47.04
25/05/2018 16:00:00,47.15
29/05/2018 16:00:00,46.98
30/05/2018 16:00:00,46.88
31/05/2018 16:00:00,46.72
01/06/2018 16:00:00,47.56
04/06/2018 16:00:00,47.96
05/06/2018 16:00:00,48.33
06/06/2018 16:00:00,48.5
07/06/2018 16:00:00,48.37
08/06/2018 16:00:00,47.93
11/06/2018 16:00:00,47.81
12/06/2018 16:00:00,48.07
13/06/2018 16:00:00,47.68
14/06/2018 16:00:00,47.7
15/06/2018 16:00:00,47.21
18/06/2018 16:00:00,47.19
19/06/2018 16:00:00,46.42
20/06/2018 16:00:00,46.63
21/06/2018 16:00:00,46.37
22/06/2018 16:00:00,46.23
25/06/2018 16:00:00,45.54
26/06/2018 16:00:00,46.11
27/06/2018 16:00:00,46.04
28/06/2018 16:00:00,46.38
29/06/2018 16:00:00,46.28
02/07/2018 16:00:00,46.8
03/07/2018 13:00:00,45.98
05/07/2018 16:00:00,46.35
06/07/2018 16:00:00,46.99
09/07/2018 16:00:00,47.65
10/07/2018 16:00:00,47.59
11/07/2018 16:00:00,46.97
12/07/2018 16:00:00,47.76
13/07/2018 16:00:00,47.83
16/07/2018 16:00:00,47.73
17/07/2018 16:00:00,47.86
18/07/2018 16:00:00,47.6
19/07/2018 16:00:00,47.97
20/07/2018 16:00:00,47.86
23/07/2018 16:00:00,47.86
24/07/2018 16:00:00,48.25
25/07/2018 16:00:00,48.71
26/07/2018 16:00:00,48.55
27/07/2018 16:00:00,47.75
30/07/2018 16:00:00,47.48
31/07/2018 16:00:00,47.57
01/08/2018 16:00:00,50.38
02/08/2018 16:00:00,51.85
03/08/2018 16:00:00,52
06/08/2018 16:00:00,52.27
07/08/2018 16:00:00,51.78
08/08/2018 16:00:00,51.81
09/08/2018 16:00:00,52.22
10/08/2018 16:00:00,51.88
13/08/2018 16:00:00,52.22
14/08/2018 16:00:00,52.44
15/08/2018 16:00:00,52.56
16/08/2018 16:00:00,53.33
17/08/2018 16:00:00,54.4
20/08/2018 16:00:00,53.87
21/08/2018 16:00:00,53.76
22/08/2018 16:00:00,53.76
23/08/2018 16:00:00,53.87
24/08/2018 16:00:00,54.04
27/08/2018 16:00:00,54.49
28/08/2018 16:00:00,54.93
29/08/2018 16:00:00,55.75
30/08/2018 16:00:00,56.26
31/08/2018 16:00:00,56.91
04/09/2018 16:00:00,57.09
05/09/2018 16:00:00,56.72
06/09/2018 16:00:00,55.78
07/09/2018 16:00:00,55.33
10/09/2018 16:00:00,54.58
11/09/2018 16:00:00,55.96
12/09/2018 16:00:00,55.27
13/09/2018 16:00:00,56.6
14/09/2018 16:00:00,55.96
17/09/2018 16:00:00,54.47
18/09/2018 16:00:00,54.56
19/09/2018 16:00:00,54.59
20/09/2018 16:00:00,55.01
21/09/2018 16:00:00,54.42
24/09/2018 16:00:00,55.2
25/09/2018 16:00:00,55.55
26/09/2018 16:00:00,55.11
27/09/2018 16:00:00,56.24
28/09/2018 16:00:00,56.44
01/10/2018 16:00:00,56.82
02/10/2018 16:00:00,57.32
03/10/2018 16:00:00,58.02
04/10/2018 16:00:00,57
05/10/2018 16:00:00,56.07
08/10/2018 16:00:00,55.94
09/10/2018 16:00:00,56.72
10/10/2018 16:00:00,54.09
11/10/2018 16:00:00,53.61
12/10/2018 16:00:00,55.53
15/10/2018 16:00:00,54.34
16/10/2018 16:00:00,55.54
17/10/2018 16:00:00,55.3
18/10/2018 16:00:00,54.01
19/10/2018 16:00:00,54.83
22/10/2018 16:00:00,55.16
23/10/2018 16:00:00,55.68
24/10/2018 16:00:00,53.77
25/10/2018 16:00:00,54.95
26/10/2018 16:00:00,54.08
29/10/2018 16:00:00,53.06
30/10/2018 16:00:00,53.33
31/10/2018 16:00:00,54.72
01/11/2018 16:00:00,55.56
02/11/2018 16:00:00,51.87
05/11/2018 16:00:00,50.4
06/11/2018 16:00:00,50.94
07/11/2018 16:00:00,52.49
08/11/2018 16:00:00,52.12
09/11/2018 16:00:00,51.12
12/11/2018 16:00:00,48.54
13/11/2018 16:00:00,48.06
14/11/2018 16:00:00,46.7
15/11/2018 16:00:00,47.85
16/11/2018 16:00:00,48.38
19/11/2018 16:00:00,46.47
20/11/2018 16:00:00,44.25
21/11/2018 16:00:00,44.2
23/11/2018 13:00:00,43.07
26/11/2018 16:00:00,43.66
27/11/2018 16:00:00,43.56
28/11/2018 16:00:00,45.24
29/11/2018 16:00:00,44.89
30/11/2018 16:00:00,44.65
03/12/2018 16:00:00,46.21
04/12/2018 16:00:00,44.17
06/12/2018 16:00:00,43.68
07/12/2018 16:00:00,42.12
10/12/2018 16:00:00,42.4
11/12/2018 16:00:00,42.16
12/12/2018 16:00:00,42.28
13/12/2018 16:00:00,42.74
14/12/2018 16:00:00,41.37
17/12/2018 16:00:00,40.99
18/12/2018 16:00:00,41.52
19/12/2018 16:00:00,40.22
20/12/2018 16:00:00,39.21
21/12/2018 16:00:00,37.68
24/12/2018 13:00:00,36.71
26/12/2018 16:00:00,39.29
27/12/2018 16:00:00,39.04
28/12/2018 16:00:00,39.06
31/12/2018 16:00:00,39.44
02/01/2019 16:00:00,39.48
03/01/2019 16:00:00,35.55
04/01/2019 16:00:00,37.07
07/01/2019 16:00:00,36.98
08/01/2019 16:00:00,37.69
09/01/2019 16:00:00,38.33
10/01/2019 16:00:00,38.45
11/01/2019 16:00:00,38.07
14/01/2019 16:00:00,37.5
15/01/2019 16:00:00,38.27
16/01/2019 16:00:00,38.74
17/01/2019 16:00:00,38.97
18/01/2019 16:00:00,39.21
22/01/2019 16:00:00,38.33
23/01/2019 16:00:00,38.48
24/01/2019 16:00:00,38.17
25/01/2019 16:00:00,39.44
28/01/2019 16:00:00,39.08
29/01/2019 16:00:00,38.67
30/01/2019 16:00:00,41.31
31/01/2019 16:00:00,41.61
01/02/2019 16:00:00,41.63
04/02/2019 16:00:00,42.81
05/02/2019 16:00:00,43.55
06/02/2019 16:00:00,43.56
07/02/2019 16:00:00,42.74
08/02/2019 16:00:00,42.6
11/02/2019 16:00:00,42.36
12/02/2019 16:00:00,42.72
13/02/2019 16:00:00,42.55
14/02/2019 16:00:00,42.7
